iter	Passed	Remaining
614	24798	15524
615	24837	15482
616	24868	15437
617	24902	15392
618	24946	15354
619	24993	15318
620	25040	15282
621	25085	15244
622	25125	15204
623	25162	15161
624	25204	15122
625	25244	15081
626	25286	15043
627	25329	15003
628	25362	14959
629	25402	14918
630	25438	14876
631	25476	14834
632	25513	14792
633	25561	14756
634	25609	14720
635	25650	14680
636	25692	14641
637	25734	14601
638	25763	14554
639	25803	14514
640	25850	14477
641	25897	14441
642	25942	14403
643	25988	14366
644	26029	14326
645	26075	14289
646	26126	14254
647	26181	14222
648	26227	14184
649	26266	14143
650	26303	14101
651	26344	14061
652	26394	14026
653	26447	13991
654	26499	13957
655	26558	13926
656	26614	13894
657	26656	13854
658	26692	13812
659	26731	13770
660	26769	13729
661	26805	13685
662	26840	13642
663	26877	13600
664	26916	13559
665	26951	13516
666	26988	13474
667	27032	13435
668	27076	13396
669	27111	13353
670	27152	13312
671	27185	13269
672	27225	13228
673	27262	13186
674	27303	13146
675	27339	13103
676	27387	13066
677	27428	13026
678	27471	12987
679	27511	12946
680	27545	12903
681	27580	12860
682	27622	12820
683	27657	12777
684	27692	12734
685	27737	12696
686	27771	12652
687	27805	12609
688	27849	12570
689	27890	12530
690	27933	12491
691	27974	12451
692	28005	12406
693	28044	12365
694	28079	12322
695	28117	12281
696	28153	12238
697	28193	12198
698	28238	12160
699	28283	12121
700	28326	12082
701	28376	12045
702	28414	12004
703	28463	11967
704	28497	11924
705	28538	11884
706	28581	11844
707	28622	11804
708	28658	11762
709	28700	11722
710	28746	11684
711	28789	11645
712	28829	11604
713	28865	11562
714	28899	11519
715	28942	11479
716	28981	11439
717	29025	11400
718	29063	11358
719	29119	11324
720	29157	11282
721	29194	11241
722	29243	11204
723	29275	11160
724	29313	11119
725	29353	11078
726	29403	11041
727	29454	11004
728	29500	10966
729	29534	10923
730	29567	10880
731	29607	10839
732	29652	10801
733	29692	10760
734	29731	10719
735	29786	10684
736	29818	10640
737	29856	10599
738	29888	10555
739	29924	10513
740	29960	10472
741	29993	10428
742	30032	10388
743	30065	10345
744	30103	10303
745	30137	10261
746	30176	10220
747	30215	10179
748	30249	10137
749	30286	10095
750	30325	10054
751	30369	10015
752	30409	9974
753	30453	9935
754	30490	9894
755	30528	9853
756	30563	9811
757	30602	9770
758	30636	9727
759	30671	9685
760	30704	9642
761	30741	9601
762	30780	9560
763	30815	9518
764	30846	9475
765	30882	9433
766	30921	9393
767	30965	9354
768	31005	9313
769	31063	9278
770	31111	9240
771	31150	9199
772	31187	9158
773	31224	9117
774	31255	9074
775	31292	9033
776	31331	8992
777	31378	8953
778	31428	8916
779	31461	8873
780	31499	8832
781	31533	8790
782	31568	8749
783	31601	8706
784	31642	8666
785	31690	8628
786	31723	8586
787	31770	8547
788	31807	8506
789	31841	8464
790	31877	8422
791	31925	8384
792	31956	8341
793	31993	8300
794	32030	8259
795	32066	8218
796	32101	8176
797	32136	8134
798	32173	8093
799	32212	8053
800	32253	8013
801	32290	7971
802	32324	7930
803	32362	7889
804	32395	7847
805	32433	7806
806	32468	7765
807	32515	7726
808	32548	7684
809	32586	7643
810	32625	7603
811	32658	7561
812	32693	7519
813	32728	7478
814	32766	7437
815	32802	7396
816	32838	7355
817	32867	7312
818	32903	7271
819	32946	7232
820	32988	7192
821	33026	7151
822	33059	7110
823	33097	7069
824	33132	7028
825	33170	6987
826	33204	6946
827	33242	6905
828	33290	6866
829	33329	6826
830	33374	6787
831	33427	6749
832	33475	6711
833	33511	6670
834	33550	6629
835	33586	6588
836	33631	6549
837	33668	6508
838	33712	6469
839	33747	6428
840	33792	6388
841	33829	6348
842	33862	6306
843	33897	6265
844	33935	6224
845	33970	6183
846	34007	6143
847	34038	6101
848	34075	6060
849	34112	6019
850	34148	5979
851	34181	5937
852	34220	5897
853	34257	5856
854	34289	5815
855	34324	5774
856	34361	5733
857	34398	5692
858	34429	5651
859	34464	5610
860	34502	5570
861	34533	5528
862	34567	5487
863	34608	5447
864	34644	5407
865	34678	5365
